town,age_ma,lat,lon,robinson_x,robinson_y
Sydney,0,-33.8688,151.2093,13527834.129605973,-3622401.7957611177
Austinmer,0,-34.2967,150.928,13480068.907572953,-3668149.393150619
Melbourne,0,-37.8136,144.9631,12755509.282102894,-4043641.5564812887
Brisbane,0,-27.4698,153.0251,13982294.985509714,-2937927.6998086814
Perth,0,-31.952300000000008,115.8613,10439540.906736253,-3417421.154435833
Adelaide,0,-34.9285,138.6007,12347818.826089557,-3735678.444737435
Darwin,0,-12.4634,130.8456,12276161.522508588,-1332984.5813648435
Hobart,0,-42.8821,147.3272,12629631.96168899,-4581800.131795872
Cairns,0,-16.9203,145.77100000000002,13595795.39989912,-1809656.67519302
Alice Springs,0,-23.698,133.8807,12340722.434612224,-2534551.4869680894
Canberra,0,-35.2809,149.13,13266791.34969269,-3773331.274660054
Sydney,50,-54.64827350044943,154.95304237573293,12259801.72311388,-5802797.88580016
Austinmer,50,-55.13060989279219,154.8334705153115,12201170.990384629,-5851557.775019755
Melbourne,50,-60.06369807182399,148.55232012291287,11201400.559340958,-6342275.296346911
Brisbane,50,-48.0954957402152,153.88435024415833,12781235.809385795,-5129156.3558357265
Perth,50,-56.87407602571105,101.1007166123723,7848557.214516486,-6026699.301202428
Adelaide,50,-58.67389124992947,137.32803360686776,10490081.260465415,-6205578.749996029
Darwin,50,-37.38556375365694,121.85385573089677,10742892.751989769,-3998005.2856029286
Hobart,50,-64.14191173826542,156.0699933249596,11302386.698195681,-6735401.962773316
Cairns,50,-39.70365024052177,140.97369881755242,12292902.243304674,-4244852.00526463
Alice Springs,50,-48.29054108358535,127.26824934554756,10557120.910570549,-5149470.735841836
Canberra,50,-56.564687072503595,152.9713730824704,11907503.938869853,-5995748.942807112
Sydney,100,-64.30222762285948,144.7806351714797,10467446.28190706,-6750592.453149617
Austinmer,100,-64.7379043596164,144.27365824200174,10383593.194732076,-6791767.300197874
Melbourne,100,-68.09063114044993,131.88947646966702,9153683.96519124,-7103012.446156158
Brisbane,100,-57.833799763792854,147.36141950863276,11342701.593987534,-6122336.796832306
Perth,100,-54.5609708705202,87.36742631724773,6917458.587158587,-5793959.148660557
Adelaide,100,-64.39732992801446,120.49160212504505,8702790.84905903,-6759593.75835375
Darwin,100,-40.9446799693066,117.02074866964045,10139141.85242806,-4376652.232954028
Hobart,100,-73.29536316246292,136.0291796151649,8860851.186501099,-7563247.678186807
Cairns,100,-47.29984010100466,136.18764096621592,11369300.106592469,-5046148.015184564
Alice Springs,100,-52.5365433050108,117.5590557211931,9460217.831542887,-5587883.305492248
Canberra,100,-65.74170935170754,140.77867068232987,10025227.346822359,-6886023.74959283
Sydney,150,-76.68190132456253,86.42026339996869,5357193.641887885,-7846179.360606499
Austinmer,150,-76.73360851886046,84.31303586971934,5222293.004883032,-7850372.18042211
Melbourne,150,-73.84031238527972,63.56457916419525,4109974.722272741,-7609695.639894266
Brisbane,150,-73.14375990281447,108.02790987936586,7051153.86991284,-7550267.127486383
Perth,150,-49.59186874695108,55.871753677179356,4594315.582381932,-5284640.581666402
Adelaide,150,-68.03354477873683,66.37907590650916,4609946.670957046,-7097802.223218422
Darwin,150,-48.47381162602859,92.59136260146754,7671366.329670041,-5168546.098029354
Hobart,150,-76.30660535294628,44.868373957685186,2797823.9471783508,-7815602.330653119
Cairns,150,-60.645857136051774,108.24890667109361,8117192.8492800435,-6399143.5371317975
Alice Springs,150,-58.49310533237423,82.68500673924522,6326521.853608926,-6187703.487287152
Canberra,150,-75.97123810124448,77.51538538460588,4858722.729962433,-7788076.029568217
Sydney,200,-60.707948985379964,79.17863565338274,5933779.429258106,-6405194.963752971
Austinmer,200,-60.73647960169961,78.1840774927808,5857638.836417044,-6407974.621691408
Melbourne,200,-58.18756912370518,67.54755311473842,5182690.943655035,-6157445.608706004
Brisbane,200,-58.09810431153358,91.08523614006866,6994321.0379075,-6148574.424876314
Perth,200,-34.70591177712847,57.207177383908395,5101115.083747562,-3711890.0542884767
Adelaide,200,-52.3119811556039,67.80835375226742,5466153.479586977,-5564897.388730906
Darwin,200,-32.73566443566504,85.89313933426831,7717392.386294479,-3501219.330861214
Hobart,200,-61.740038557531086,59.461527481526815,4411667.92356285,-6505375.954097723
Cairns,200,-45.89716601994801,95.53693158147095,8045433.579530586,-4899304.0377129335
Alice Springs,200,-42.48771604447807,77.93989670066722,6696313.237295588,-4540105.058211244
Canberra,200,-59.968297362243,74.94975619074206,5656595.225989923,-6332932.939685334
Sydney,250,-66.67145677442336,142.40607365775574,10040041.244792663,-6972534.124372402
Austinmer,250,-67.10812763884407,141.85549324428075,9953564.487302253,-7012889.063985033
Melbourne,250,-70.42147335963705,128.08763639591152,8652424.320598638,-7312819.105257506
Brisbane,250,-60.195046715101526,145.10565888823382,10927885.023438772,-6355126.687987897
Perth,250,-55.88497752651785,81.89640725997062,6412457.920097773,-5927554.169822655
Adelaide,250,-66.5886329755713,115.86082712433502,8175884.768706641,-6964859.727214443
Darwin,250,-43.08632573020886,113.46601078286342,9715554.677491542,-4603377.428508589
Hobart,250,-75.65244318630378,132.42829218187075,8341179.85030135,-7761748.642769082
Cairns,250,-49.65909976338254,133.27265858142368,10953877.962873781,-5291605.89270224
Alice Springs,250,-54.683824834966146,113.5548702460053,8981753.801130524,-5806396.007621397
Canberra,250,-68.11328084772302,138.01466043013352,9576354.440870132,-7105078.752887621
Sydney,300,-60.34882982124002,170.20519315043816,12799381.629721293,-6370157.928187322
Austinmer,300,-60.83299839871578,170.31596794298824,12748413.310567534,-6417373.893032398
Melbourne,300,-66.47710998221828,165.93299029414595,11723476.667377258,-6954516.012273717
Brisbane,300,-54.117680635899475,166.2455528479885,13210763.211526494,-5749016.15348437
Perth,300,-66.38884302212689,101.90539803892284,7206691.056791548,-6946321.137357103
Adelaide,300,-66.52211206746448,151.15947897080167,10674490.55325659,-6958691.325236049
Darwin,300,-46.615730308950674,127.2620714953593,10669838.200075764,-4974606.734050615
Hobart,300,-69.24723140499377,178.21044089194817,12206147.838842224,-7207850.719503373
Cairns,300,-47.43046941315439,149.46012636622584,12466980.128570508,-5059791.134724557
Alice Springs,300,-57.163569421284755,135.14419429954657,10464663.908990748,-6055607.155480628
Canberra,300,-62.486420008989924,168.95821570845877,12443267.622473333,-6577334.624991492
